part_id,description,ldraw_color,color_name,quantity
3001,"Brick 2 × 4",19,"Tan",68
3020,"Plate 2 × 4",288,"Dark green",56
3001,"Brick 2 × 4",4,"Red",30
3710,"Plate 1 × 4",288,"Dark green",12
3020,"Plate 2 × 4",70,"Reddish brown",10
3004,"Brick 1 × 2",19,"Tan",8
3002,"Brick 2 × 3",19,"Tan",4
3004,"Brick 1 × 2",70,"Reddish brown",4
3005,"Brick 1 × 1",1,"Blue",4
3010,"Brick 1 × 4",1,"Blue",4
3010,"Brick 1 × 4",19,"Tan",4
3622,"Brick 1 × 3",19,"Tan",4
3623,"Plate 1 × 3",288,"Dark green",3
3021,"Plate 2 × 3",288,"Dark green",1
3024,"Plate 1 × 1",288,"Dark green",1
