part_id,description,ldraw_color,color_name,quantity
3020,"Plate 2 × 4",71,"Light bluish gray",86
3710,"Plate 1 × 4",71,"Light bluish gray",16
3020,"Plate 2 × 4",1,"Blue",12
3710,"Plate 1 × 4",288,"Dark green",11
3020,"Plate 2 × 4",288,"Dark green",10
3020,"Plate 2 × 4",2,"Green",6
3710,"Plate 1 × 4",19,"Tan",6
3023,"Plate 1 × 2",288,"Dark green",4
3710,"Plate 1 × 4",1,"Blue",4
3021,"Plate 2 × 3",1,"Blue",3
3024,"Plate 1 × 1",1,"Blue",3
3623,"Plate 1 × 3",1,"Blue",3
3623,"Plate 1 × 3",71,"Light bluish gray",3
3623,"Plate 1 × 3",288,"Dark green",3
3023,"Plate 1 × 2",1,"Blue",2
3024,"Plate 1 × 1",288,"Dark green",2
3623,"Plate 1 × 3",14,"Yellow",2
3020,"Plate 2 × 4",14,"Yellow",1
3021,"Plate 2 × 3",71,"Light bluish gray",1
3021,"Plate 2 × 3",288,"Dark green",1
3023,"Plate 1 × 2",14,"Yellow",1
3024,"Plate 1 × 1",14,"Yellow",1
3024,"Plate 1 × 1",71,"Light bluish gray",1
