part_id,description,ldraw_color,color_name,quantity
3020,"Plate 2 × 4",71,"Light bluish gray",86
3020,"Plate 2 × 4",1,"Blue",33
3710,"Plate 1 × 4",19,"Tan",28
3710,"Plate 1 × 4",288,"Dark green",24
3020,"Plate 2 × 4",288,"Dark green",19
3710,"Plate 1 × 4",1,"Blue",19
3020,"Plate 2 × 4",2,"Green",17
3710,"Plate 1 × 4",71,"Light bluish gray",16
3024,"Plate 1 × 1",1,"Blue",11
3623,"Plate 1 × 3",14,"Yellow",10
3623,"Plate 1 × 3",1,"Blue",9
3021,"Plate 2 × 3",1,"Blue",8
3023,"Plate 1 × 2",288,"Dark green",8
3023,"Plate 1 × 2",1,"Blue",6
3623,"Plate 1 × 3",288,"Dark green",6
3020,"Plate 2 × 4",14,"Yellow",5
3023,"Plate 1 × 2",14,"Yellow",5
3024,"Plate 1 × 1",14,"Yellow",5
3024,"Plate 1 × 1",288,"Dark green",4
3623,"Plate 1 × 3",71,"Light bluish gray",3
3021,"Plate 2 × 3",288,"Dark green",2
3024,"Plate 1 × 1",19,"Tan",2
3623,"Plate 1 × 3",19,"Tan",2
3021,"Plate 2 × 3",2,"Green",1
3021,"Plate 2 × 3",71,"Light bluish gray",1
3023,"Plate 1 × 2",2,"Green",1
3024,"Plate 1 × 1",71,"Light bluish gray",1
