part_id,description,ldraw_color,color_name,quantity
3001,"Brick 2 × 4",71,"Light bluish gray",58
3020,"Plate 2 × 4",288,"Dark green",56
3005,"Brick 1 × 1",71,"Light bluish gray",14
3710,"Plate 1 × 4",288,"Dark green",12
3005,"Brick 1 × 1",0,"Black",8
3010,"Brick 1 × 4",71,"Light bluish gray",6
3622,"Brick 1 × 3",71,"Light bluish gray",4
3623,"Plate 1 × 3",288,"Dark green",3
3004,"Brick 1 × 2",71,"Light bluish gray",2
3021,"Plate 2 × 3",288,"Dark green",1
3024,"Plate 1 × 1",288,"Dark green",1
